,Hispanic_orLatino,White_Alone,Black/AfriAmer_Al,AmerIndian&AlaskaNat_alo,Asian_alone,NatHawaiian&PacIs_al,Other,2MoreRaces,Total_Population
"Mississippi: Summary level: 040, state:28",86507,1768174,1116457,12896,28900,409,25911,35334,2988081
"Missouri: Summary level: 040, state:29",233046,4995527,697022,24951,106537,6161,67605,147645,6045448
"Montana: Summary level: 040, state:30",33622,904977,4757,65693,7187,848,5460,25777,1014699
"Nebraska: Summary level: 040, state:31",186268,1647551,88195,16319,38066,1280,36359,41595,1869365
"Nevada: Summary level: 040, state:32",770553,1929661,235721,31393,214846,17942,246138,122935,2798636
"New Hampshire: Summary level: 040, state:33",42141,1241313,17439,2238,31364,228,7273,24346,1324201
"New Jersey: Summary level: 040, state:34",1688008,6083940,1202300,18335,804989,2808,568215,223826,8904413
"New Mexico: Summary level: 040, state:35",986972,1524911,43738,190528,28761,1276,226850,68053,2084117
"New York: Summary level: 040, state:36",3619658,12704637,3070392,74793,1570223,6485,1685765,560879,19673174
"North Carolina: Summary level: 040, state:37",869908,6839831,2115338,116143,244076,6244,292310,231391,9845333
"North Dakota: Summary level: 040, state:38",20569,640208,11872,38286,8979,304,5859,16132,721640
"Ohio: Summary level: 040, state:39",390970,9538328,1412045,21646,216170,3060,97516,287212,11575977
"Oklahoma: Summary level: 040, state:40",371459,2813794,278571,279276,74570,4701,98885,299936,3849733
"Oregon: Summary level: 040, state:41",485646,3352941,72837,46258,156695,15042,132667,162793,3939233
"Pennsylvania: Summary level: 040, state:42",815538,10430142,1403143,23641,392595,4279,253070,272689,12779559
"Rhode Island: Summary level: 040, state:44",143788,854859,68243,5106,34213,373,61085,29782,1053661
"South Carolina: Summary level: 040, state:45",254092,3210708,1315058,14966,66982,2588,73324,93950,4777576
"South Dakota: Summary level: 040, state:46",27914,716691,13133,72619,10152,332,7940,22323,843190
"Tennessee: Summary level: 040, state:47",320090,5059894,1091070,17802,102027,3323,96739,128760,6499615
"Texas: Summary level: 040, state:48",10196367,19874610,3152917,126493,1124011,21655,1585866,653062,26538614
"Vermont: Summary level: 040, state:50",10691,594443,6949,2018,8774,249,2002,12169,626604
"Utah: Summary level: 040, state:49",389856,2544735,31909,31824,64102,26147,129907,74755,2903379
"Virginia: Summary level: 040, state:51",709156,5695147,1589345,22570,492973,5304,183124,268167,8256630
"Washington: Summary level: 040, state:53",835488,5434177,253224,93266,535501,44159,264432,360705,6985464
"West Virginia: Summary level: 040, state:54",25408,1732235,61367,2953,13485,625,4566,36189,1851420
"Wisconsin: Summary level: 040, state:55",364558,4967124,360792,50449,143732,1233,96057,122730,5742117
"Wyoming: Summary level: 040, state:56",55698,527763,6142,12658,5319,423,11885,15489,579679
"Puerto Rico: Summary level: 040, state:72",3547288,2495997,301519,11775,10159,129,431443,332051,3583073
"Alabama: Summary level: 040, state:01",193492,3325464,1276544,23850,59599,2439,61078,81646,4830620
"Alaska: Summary level: 040, state:02",47808,484250,25022,101313,42921,8841,9273,61755,733375
"Arizona: Summary level: 040, state:04",2014711,5210335,281576,294721,200090,12471,430890,211845,6641928
"Arkansas: Summary level: 040, state:05",203226,2307849,459748,18409,40336,6845,62484,62537,2958208
"California: Summary level: 040, state:06",14750686,23747013,2265387,287028,5261978,150370,4974791,1734897,38421464
"Colorado: Summary level: 040, state:08",1112586,4446095,213787,50008,153467,7695,224374,183480,5278906
"Delaware: Summary level: 040, state:10",80706,642623,200481,3140,33643,306,20995,25266,926454
"District of Columbia: Summary level: 040, state:11",65803,260325,316447,2154,23822,250,27159,17327,647484
"Connecticut: Summary level: 040, state:09",526508,2778362,370501,8908,150670,981,181881,101919,3593222
"Florida: Summary level: 040, state:12",4660733,14934702,3171108,54569,509085,11024,493202,472082,19645772
"Georgia: Summary level: 040, state:13",915120,6025691,3096757,25887,360448,4704,279403,213803,10006693
"Idaho: Summary level: 040, state:16",191314,1482914,9900,20504,21711,1921,38371,41226,1616547
"Hawaii: Summary level: 040, state:15",139251,357164,28688,3012,530551,138901,14864,333119,1406299
"Illinois: Summary level: 040, state:17",2122841,9312771,1846108,28363,645642,3407,747933,289537,12873761
"Indiana: Summary level: 040, state:18",421206,5529201,603014,14793,121729,2285,152022,145601,6568645
"Iowa: Summary level: 040, state:19",168230,2820046,97788,9977,62997,1882,39872,60964,3093526
"Kansas: Summary level: 040, state:20",323218,2464566,168402,24022,75653,1796,63183,95365,2892987
"Kentucky: Summary level: 040, state:21",143481,3851591,347034,9063,55483,2197,41149,90836,4397353
"Louisiana: Summary level: 040, state:22",218263,2902538,1484363,27238,77818,1824,47595,83877,4625253
"Maine: Summary level: 040, state:23",19447,1262026,15037,7811,14590,187,3151,26298,1329100
"Maryland: Summary level: 040, state:24",533671,3416107,1750916,15579,357616,2754,211914,175652,5930538
"Massachusetts: Summary level: 040, state:25",707928,5334859,478947,13189,400675,1644,281595,194677,6705586
"Michigan: Summary level: 040, state:26",467021,7823875,1381388,53951,268766,2083,109184,261324,9900571
"Minnesota: Summary level: 040, state:27",270984,4594367,299176,56561,240786,1970,82085,144226,5419171
